member_status,lidvid,spectrum_id,lid,raw_xml,raw_tab,metadata_text
P,urn:nasa:pds:relab:data_reflectance:1101f549::1.1,1101f549,urn:nasa:pds:relab:data_reflectance:1101f549,data/raw/relab/metadata_cache/ftir1/1101f549.xml,data/raw/relab/metadata_cache/ftir1/1101f549.tab,"1101f549.xml | urn:nasa:pds:relab:data_reflectance:1101f549 | 1.1 | relab spectrum id 1101f549 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-549 | sample | jb-jlb-549 | lane calcite | 0 | 63 | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | mineral | particulate | carbonate | calcite | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 300 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101f549.tab | 2001-11-30 | reflectance spectrum | 8 | 2357 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
P,urn:nasa:pds:relab:data_reflectance:1101f550::1.1,1101f550,urn:nasa:pds:relab:data_reflectance:1101f550,data/raw/relab/metadata_cache/ftir1/1101f550.xml,data/raw/relab/metadata_cache/ftir1/1101f550.tab,"1101f550.xml | urn:nasa:pds:relab:data_reflectance:1101f550 | 1.1 | relab spectrum id 1101f550 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-550 | sample | jb-jlb-550 | lane calcite | rewashed 11/01 | 63 | 90 | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | mineral | particulate | carbonate | calcite | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 300 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101f550.tab | 2001-11-30 | reflectance spectrum | 8 | 2357 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
P,urn:nasa:pds:relab:data_reflectance:1101f556::1.1,1101f556,urn:nasa:pds:relab:data_reflectance:1101f556,data/raw/relab/metadata_cache/ftir1/1101f556.xml,data/raw/relab/metadata_cache/ftir1/1101f556.tab,"1101f556.xml | urn:nasa:pds:relab:data_reflectance:1101f556 | 1.1 | relab spectrum id 1101f556 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-556 | sample | jb-jlb-556 | lane gypsum | rewashed 11/01 | 0 | 63 | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | mineral | particulate | sulfate | gypsum | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 300 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101f556.tab | 2001-11-30 | reflectance spectrum | 8 | 2955 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
P,urn:nasa:pds:relab:data_reflectance:1101f557::1.1,1101f557,urn:nasa:pds:relab:data_reflectance:1101f557,data/raw/relab/metadata_cache/ftir1/1101f557.xml,data/raw/relab/metadata_cache/ftir1/1101f557.tab,"1101f557.xml | urn:nasa:pds:relab:data_reflectance:1101f557 | 1.1 | relab spectrum id 1101f557 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-557 | sample | jb-jlb-557 | lane gypsum | 63 | 90 | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | mineral | particulate | sulfate | gypsum | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 300 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101f557.tab | 2001-11-30 | reflectance spectrum | 8 | 2955 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
P,urn:nasa:pds:relab:data_reflectance:1101s355s::1.1,1101s355s,urn:nasa:pds:relab:data_reflectance:1101s355s,data/raw/relab/metadata_cache/ftir1/1101s355s.xml,data/raw/relab/metadata_cache/ftir1/1101s355s.tab,"1101s355s.xml | urn:nasa:pds:relab:data_reflectance:1101s355s | 1.1 | relab spectrum id 1101s355s | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-355-s | sample | jb-jlb-355-s | green basalt altered chip | olivine and other minerals;  sulfate-altered chip | jb-jlb-355 | norway | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | rock | nonparticulate | chip | igneous | basalt | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 850 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101s355s.tab | 2001-11-30 | reflectance spectrum | 8 | 2766 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
P,urn:nasa:pds:relab:data_reflectance:1101s397s::1.1,1101s397s,urn:nasa:pds:relab:data_reflectance:1101s397s,data/raw/relab/metadata_cache/ftir1/1101s397s.xml,data/raw/relab/metadata_cache/ftir1/1101s397s.tab,"1101s397s.xml | urn:nasa:pds:relab:data_reflectance:1101s397s | 1.1 | relab spectrum id 1101s397s | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-397-s | sample | jb-jlb-397-s | iron oxide sulfate-altered- hal-5 altered chip | site 4, near cinder cone off sliding sands trail  yellow-orange pink soil, sulfate-altered chip | jb-jlb-397 | haleakala crater, maui, hi | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | consolidated mixture | nonparticulate | chip | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 850 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101s397s.tab | 2001-11-30 | reflectance spectrum | 8 | 2766 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
P,urn:nasa:pds:relab:data_reflectance:1101s549::1.1,1101s549,urn:nasa:pds:relab:data_reflectance:1101s549,data/raw/relab/metadata_cache/ftir1/1101s549.xml,data/raw/relab/metadata_cache/ftir1/1101s549.tab,"1101s549.xml | urn:nasa:pds:relab:data_reflectance:1101s549 | 1.1 | relab spectrum id 1101s549 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-549 | sample | jb-jlb-549 | lane calcite | 0 | 63 | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | mineral | particulate | carbonate | calcite | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 850 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101s549.tab | 2001-11-30 | reflectance spectrum | 8 | 3635 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
P,urn:nasa:pds:relab:data_reflectance:1101s550::1.1,1101s550,urn:nasa:pds:relab:data_reflectance:1101s550,data/raw/relab/metadata_cache/ftir1/1101s550.xml,data/raw/relab/metadata_cache/ftir1/1101s550.tab,"1101s550.xml | urn:nasa:pds:relab:data_reflectance:1101s550 | 1.1 | relab spectrum id 1101s550 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-550 | sample | jb-jlb-550 | lane calcite | rewashed 11/01 | 63 | 90 | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | mineral | particulate | carbonate | calcite | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 850 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101s550.tab | 2001-11-30 | reflectance spectrum | 8 | 3635 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
P,urn:nasa:pds:relab:data_reflectance:1101s551::1.1,1101s551,urn:nasa:pds:relab:data_reflectance:1101s551,data/raw/relab/metadata_cache/ftir1/1101s551.xml,data/raw/relab/metadata_cache/ftir1/1101s551.tab,"1101s551.xml | urn:nasa:pds:relab:data_reflectance:1101s551 | 1.1 | relab spectrum id 1101s551 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-551 | sample | jb-jlb-551 | lane calcite | 90 | 125 | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | mineral | particulate | carbonate | calcite | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 850 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101s551.tab | 2001-11-30 | reflectance spectrum | 8 | 3635 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
P,urn:nasa:pds:relab:data_reflectance:1101s552::1.1,1101s552,urn:nasa:pds:relab:data_reflectance:1101s552,data/raw/relab/metadata_cache/ftir1/1101s552.xml,data/raw/relab/metadata_cache/ftir1/1101s552.tab,"1101s552.xml | urn:nasa:pds:relab:data_reflectance:1101s552 | 1.1 | relab spectrum id 1101s552 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2001-11-30z | 2001-11-30z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | instrument | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | jb-jlb-552 | sample | jb-jlb-552 | lane calcite | rewashed 11/01 | 125 | 180 | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | mineral | particulate | carbonate | calcite | 1 | 1 | nicolet 740 ftir with spectra-tech bi-conical diffuse reflectance accessory | urn:nasa:pds:context:instrument:relab.bc-ftir1 | is_instrument | reflectance | wavelength | 850 | 25921 | nm | biconical | room temperature, dry air | 2001-11-30 | relab | relab | janice l. bishop | 1101s552.tab | 2001-11-30 | reflectance spectrum | 8 | 3635 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8"
