member_status,lidvid,spectrum_id,lid,raw_xml,raw_tab,metadata_text
P,urn:nasa:pds:relab:data_reflectance:c0tt01::1.1,c0tt01,urn:nasa:pds:relab:data_reflectance:c0tt01,data/raw/relab/metadata_cache/bdr3/c0tt01.xml,data/raw/relab/metadata_cache/bdr3/c0tt01.tab,"c0tt01.xml | urn:nasa:pds:relab:data_reflectance:c0tt01 | 1.1 | relab spectrum id c0tt01 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1985-04-23z | 1985-04-23z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | tt-cmp-001 | sample | tt-cmp-001 | teflon | test run with black teflon in the sample dish | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | synthetic | entirely synthetic | solid | organic | organic | nonparticulate | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 350 | 750 | nm | bidirectional | 30 | 0 | 30 | ambient | 1985-04-23 | relab | relab | carle m. pieters | c0tt01.tab | 1985-04-23 | reflectance spectrum | 8 | 81 | carriage-return line-feed | 3 | 0 | 31 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8 | standard_deviation | 3 | 20 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c10bl3::1.1,c10bl3,urn:nasa:pds:relab:data_reflectance:c10bl3,data/raw/relab/metadata_cache/bdr3/c10bl3.xml,data/raw/relab/metadata_cache/bdr3/c10bl3.tab,"c10bl3.xml | urn:nasa:pds:relab:data_reflectance:c10bl3 | 1.1 | relab spectrum id c10bl3 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1986-11-17z | 1986-11-17z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | bl-cmp-003 | sample | bl-cmp-003 | green leaf | leaf taken every 2 days to study turning to red   sycamore maple leaf run for paul fisher | lincoln field | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | natural | solid | organic | organic | nonparticulate | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 350 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1986-11-17 | relab | relab | carle m. pieters | c10bl3.tab | 1986-11-17 | reflectance spectrum | 8 | 226 | carriage-return line-feed | 3 | 0 | 31 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8 | standard_deviation | 3 | 20 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c11bl3::1.1,c11bl3,urn:nasa:pds:relab:data_reflectance:c11bl3,data/raw/relab/metadata_cache/bdr3/c11bl3.xml,data/raw/relab/metadata_cache/bdr3/c11bl3.tab,"c11bl3.xml | urn:nasa:pds:relab:data_reflectance:c11bl3 | 1.1 | relab spectrum id c11bl3 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1986-12-11z | 1986-12-11z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | bl-cmp-003 | sample | bl-cmp-003 | green leaf | leaf taken every 2 days to study turning to red   sycamore maple leaf run for paul fisher | lincoln field | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | natural | solid | organic | organic | nonparticulate | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 350 | 2600 | nm | bidirectional | 0 | 30 | 30 | ambient | 1986-12-11 | relab | relab | carle m. pieters | c11bl3.tab | 1986-12-11 | reflectance spectrum | 8 | 226 | carriage-return line-feed | 3 | 0 | 31 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8 | standard_deviation | 3 | 20 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1ab01::1.1,c1ab01,urn:nasa:pds:relab:data_reflectance:c1ab01,data/raw/relab/metadata_cache/bdr2/c1ab01.xml,data/raw/relab/metadata_cache/bdr2/c1ab01.tab,"c1ab01.xml | urn:nasa:pds:relab:data_reflectance:c1ab01 | 1.1 | relab spectrum id c1ab01 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1994-11-17z | 1994-11-17z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | ab-eac-001 | sample | ab-eac-001 | albertite- alb101 | from minerals unlimited | 0 | 45 | albert mine, new brunswick, canada | department of geography, university of winnipeg | edward a. cloutis | terrestrial sample | natural | solid | organic | organic | particulate | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1994-11-17 | relab | relab | edward a. cloutis | c1ab01.tab | 1994-11-17 | reflectance spectrum | 8 | 461 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1ab03::1.1,c1ab03,urn:nasa:pds:relab:data_reflectance:c1ab03,data/raw/relab/metadata_cache/bdr3/c1ab03.xml,data/raw/relab/metadata_cache/bdr3/c1ab03.tab,"c1ab03.xml | urn:nasa:pds:relab:data_reflectance:c1ab03 | 1.1 | relab spectrum id c1ab03 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1999-02-17z | 1999-02-17z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | ab-dtb-003 | sample | ab-dtb-003 | pathfinder airbag (kevlar) | mars pathfinder airbag material: kevlar.  about eight layers over one another. | center for lunar and asteroid surface science, university of central florida | dan t. britt | synthetic sample | synthetic | hardware | solid | organic | organic | nonparticulate | fibrous | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1999-02-17 | relab | relab | dan t. britt | c1ab03.tab | 1999-02-17 | reflectance spectrum | 8 | 461 | carriage-return line-feed | 3 | 0 | 31 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8 | standard_deviation | 3 | 20 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1al01::1.1,c1al01,urn:nasa:pds:relab:data_reflectance:c1al01,data/raw/relab/metadata_cache/bdr2/c1al01.xml,data/raw/relab/metadata_cache/bdr2/c1al01.tab,"c1al01.xml | urn:nasa:pds:relab:data_reflectance:c1al01 | 1.1 | relab spectrum id c1al01 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1992-05-22z | 1992-05-22z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | al-cmp-001 | sample | al-cmp-001 | ethanol | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | synthetic sample | synthetic | entirely synthetic | liquid | organic | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2700 | nm | bidirectional | 30 | 0 | 30 | ambient | 1992-05-22 | relab | relab | carle m. pieters | c1al01.tab | 1992-05-22 | reflectance spectrum | 8 | 481 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1as01::1.1,c1as01,urn:nasa:pds:relab:data_reflectance:c1as01,data/raw/relab/metadata_cache/bdr2/c1as01.xml,data/raw/relab/metadata_cache/bdr2/c1as01.tab,"c1as01.xml | urn:nasa:pds:relab:data_reflectance:c1as01 | 1.1 | relab spectrum id c1as01 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1994-11-17z | 1994-11-17z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | as-eac-001 | sample | as-eac-001 | asphaltum- asp101 | 0 | 45 | department of geography, university of winnipeg | edward a. cloutis | terrestrial sample | natural | solid | organic | rock | particulate | sedimentary | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1994-11-17 | relab | relab | edward a. cloutis | c1as01.tab | 1994-11-17 | reflectance spectrum | 8 | 461 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1as02::1.1,c1as02,urn:nasa:pds:relab:data_reflectance:c1as02,data/raw/relab/metadata_cache/bdr2/c1as02.xml,data/raw/relab/metadata_cache/bdr2/c1as02.tab,c1as02.xml | urn:nasa:pds:relab:data_reflectance:c1as02 | 1.1 | relab spectrum id c1as02 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1995-03-08z | 1995-03-08z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | as-lxm-002 | sample | as-lxm-002 | asphaltite #1 | unaltered asphaltite for shock experiment. | 0 | 100 | inst sp sensor tech pla exp | lyuba moroz | terrestrial sample | natural | solid | organic | rock | particulate | sedimentary | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1995-03-08 | relab | relab | lyuba moroz | c1as02.tab | 1995-03-08 | reflectance spectrum | 8 | 461 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10
P,urn:nasa:pds:relab:data_reflectance:c1as03::1.1,c1as03,urn:nasa:pds:relab:data_reflectance:c1as03,data/raw/relab/metadata_cache/bdr2/c1as03.xml,data/raw/relab/metadata_cache/bdr2/c1as03.tab,c1as03.xml | urn:nasa:pds:relab:data_reflectance:c1as03 | 1.1 | relab spectrum id c1as03 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1995-03-08z | 1995-03-08z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | as-lxm-003 | sample | as-lxm-003 | asphaltite #2 | asphaltite shocked at 1.95 km/sec | 0 | 100 | inst sp sensor tech pla exp | lyuba moroz | terrestrial sample | natural | solid | organic | rock | particulate | sedimentary | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1995-03-08 | relab | relab | lyuba moroz | c1as03.tab | 1995-03-08 | reflectance spectrum | 8 | 461 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10
P,urn:nasa:pds:relab:data_reflectance:c1as04::1.1,c1as04,urn:nasa:pds:relab:data_reflectance:c1as04,data/raw/relab/metadata_cache/bdr2/c1as04.xml,data/raw/relab/metadata_cache/bdr2/c1as04.tab,c1as04.xml | urn:nasa:pds:relab:data_reflectance:c1as04 | 1.1 | relab spectrum id c1as04 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1995-03-09z | 1995-03-09z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | as-lxm-004 | sample | as-lxm-004 | asphaltite #3 | asphaltite shocked at 2.30 km/sec. | 0 | 100 | inst sp sensor tech pla exp | lyuba moroz | terrestrial sample | natural | solid | organic | rock | particulate | sedimentary | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1995-03-09 | relab | relab | lyuba moroz | c1as04.tab | 1995-03-09 | reflectance spectrum | 8 | 461 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10
