spectrum_id,subdir,name,desc,wl_min,wl_max,unit,hits,xml,tab,tab_exists
c1cc15,bdr2,Kieserite,"White powder, sieved. Purchased from Ward's.",300,2600,nm,kieserite;sulfate,data\raw\relab\metadata_cache\bdr2\c1cc15.xml,data\raw\relab\metadata_cache\bdr2\c1cc15.tab,True
c1cy02,bdr2,Alunite,"Ron Lyon, Stanford, A-20  IGCP3, AL706",300,2600,nm,sulfate;sulfur,data\raw\relab\metadata_cache\bdr2\c1cy02.xml,data\raw\relab\metadata_cache\bdr2\c1cy02.tab,False
c1cy03,bdr2,Alunite (98%K),USGS - Skip Cunningham  AL705,300,2600,nm,sulfate,data\raw\relab\metadata_cache\bdr2\c1cy03.xml,data\raw\relab\metadata_cache\bdr2\c1cy03.tab,False
c1cy05,bdr2,Calcite,CO2004,300,2600,nm,carbonate;calcite,data\raw\relab\metadata_cache\bdr2\c1cy05.xml,data\raw\relab\metadata_cache\bdr2\c1cy05.tab,False
c1cy07,bdr2,Dolomite,"IGCP9, COD-2005",300,2600,nm,carbonate,data\raw\relab\metadata_cache\bdr2\c1cy07.xml,data\raw\relab\metadata_cache\bdr2\c1cy07.tab,False
c1cy09,bdr2,Gypsum,SU2202,300,2600,nm,gypsum;sulfate,data\raw\relab\metadata_cache\bdr2\c1cy09.xml,data\raw\relab\metadata_cache\bdr2\c1cy09.tab,False
c1cy13,bdr2,Illite -2M,"Hydrothermal carbonate replacement - in quartz vein   IL112, Kruse/Glanzmann collected",300,2600,nm,carbonate,data\raw\relab\metadata_cache\bdr2\c1cy13.xml,data\raw\relab\metadata_cache\bdr2\c1cy13.tab,False
c1cy16,bdr2,Jarosite,"Gumma Iron Mine, Kuoni Village, Azuma Gum, Gumma Prefecture, Japan  JR2501",300,2600,nm,sulfate,data\raw\relab\metadata_cache\bdr2\c1cy16.xml,data\raw\relab\metadata_cache\bdr2\c1cy16.tab,False
c1cy24,bdr2,Siderite,Colorado School of Mines TM 20198   COS2002,300,2600,nm,carbonate,data\raw\relab\metadata_cache\bdr2\c1cy24.xml,data\raw\relab\metadata_cache\bdr2\c1cy24.tab,False
c1fb13,bdr2,Marble- 91R40,100% Calcite,300,2600,nm,calcite,data\raw\relab\metadata_cache\bdr2\c1fb13.xml,data\raw\relab\metadata_cache\bdr2\c1fb13.tab,False
c1gr01,bdr2,Calcite,Calcite OFA <50 microns from C.Wagner,300,2700,nm,carbonate;calcite,data\raw\relab\metadata_cache\bdr2\c1gr01.xml,data\raw\relab\metadata_cache\bdr2\c1gr01.tab,False
c1gr03,bdr2,Siderite,Siderite XX03101-3 <56 from C.Wagner,300,2700,nm,carbonate,data\raw\relab\metadata_cache\bdr2\c1gr03.xml,data\raw\relab\metadata_cache\bdr2\c1gr03.tab,False
c1hm01,bdr2,Calcite- HYD-BLT-1a,Solid calcite rock,300,2600,nm,carbonate;calcite,data\raw\relab\metadata_cache\bdr2\c1hm01.xml,data\raw\relab\metadata_cache\bdr2\c1hm01.tab,False
c1hm02,bdr2,Calcite Molass- HYD-BLT-1b,Solid calcite rock stained with molasses,300,2600,nm,calcite,data\raw\relab\metadata_cache\bdr2\c1hm02.xml,data\raw\relab\metadata_cache\bdr2\c1hm02.tab,False
c1ja02a,bdr2,Separate 1 from JA #79634 (Calcite or Coccolite?),"Type of sample uncertain, probably a calcite",300,2600,nm,carbonate;calcite,data\raw\relab\metadata_cache\bdr2\c1ja02a.xml,data\raw\relab\metadata_cache\bdr2\c1ja02a.tab,False
c1jb117,bdr2,Montmorillonite Cation-Exchanged- 100% Fe2(SO4)3 pH3.5 SWy-1,Fe sulfur exchanged SWy-1,300,3600,nm,sulfur,data\raw\relab\metadata_cache\bdr2\c1jb117.xml,data\raw\relab\metadata_cache\bdr2\c1jb117.tab,True
c1jb118,bdr2,Montmorillonite Cation-Exchanged- 300% Fe2(SO4)3 pH3.0 SWy-1,Fe sulfur exchanged SWy-1,300,3600,nm,sulfur,data\raw\relab\metadata_cache\bdr2\c1jb118.xml,data\raw\relab\metadata_cache\bdr2\c1jb118.tab,False
c1jb119,bdr2,Montmorillonite Cation-Exchanged- 300% Fe2(SO4)3 pH3.5 SWy-1,Fe sulfur exchanged SWy-1,300,3600,nm,sulfur,data\raw\relab\metadata_cache\bdr2\c1jb119.xml,data\raw\relab\metadata_cache\bdr2\c1jb119.tab,False
c1jb120,bdr2,Montmorillonite Cation-Exchanged- 600% Fe2(SO4)3 pH3.0 SWy-1,Fe sulfur exchanged SWy-1,300,3600,nm,sulfur,data\raw\relab\metadata_cache\bdr2\c1jb120.xml,data\raw\relab\metadata_cache\bdr2\c1jb120.tab,False
c1jb130a,bdr2,Schwertmannite- Bt-4,Natural Schwertmannite  (A) Unsieved,300,2700,nm,sulfate,data\raw\relab\metadata_cache\bdr2\c1jb130a.xml,data\raw\relab\metadata_cache\bdr2\c1jb130a.tab,False
c1jb130b,bdr2,Schwertmannite- Bt-4,Natural Schwertmannite (B) <45 um (dry-sieved).,300,2700,nm,sulfate,data\raw\relab\metadata_cache\bdr2\c1jb130b.xml,data\raw\relab\metadata_cache\bdr2\c1jb130b.tab,False
c1jb131,bdr2,Schwertmannite- Z5106,Synthetic shwertmannite,300,2700,nm,sulfate,data\raw\relab\metadata_cache\bdr2\c1jb131.xml,data\raw\relab\metadata_cache\bdr2\c1jb131.tab,False
c1jb190,bdr2,Lake Silicate Carbonate- Lake Hoare core E-1,,300,2500,nm,carbonate,data\raw\relab\metadata_cache\bdr2\c1jb190.xml,data\raw\relab\metadata_cache\bdr2\c1jb190.tab,False
c1be223,bdr3,Magnesite- MGC,"For modeling of mixtures (PGG, Active missions)",280,2600,nm,carbonate;magnesite,data\raw\relab\metadata_cache\bdr3\c1be223.xml,data\raw\relab\metadata_cache\bdr3\c1be223.tab,False
c1be224,bdr3,Magnesite- MGC,"For modeling of mixtures (PGG, Active missions)",280,2600,nm,carbonate;magnesite,data\raw\relab\metadata_cache\bdr3\c1be224.xml,data\raw\relab\metadata_cache\bdr3\c1be224.tab,False
c1be225,bdr3,Magnesite- MGC,"For modeling of mixtures (PGG, Active missions)",280,2600,nm,carbonate;magnesite,data\raw\relab\metadata_cache\bdr3\c1be225.xml,data\raw\relab\metadata_cache\bdr3\c1be225.tab,False
c1be226,bdr3,Magnesite- MGC,"For modeling of mixtures (PGG, Active missions)",280,2600,nm,carbonate;magnesite,data\raw\relab\metadata_cache\bdr3\c1be226.xml,data\raw\relab\metadata_cache\bdr3\c1be226.tab,False
c1be227,bdr3,Magnesite- MGC,"For modeling of mixtures (PGG, Active missions)",280,2600,nm,carbonate;magnesite,data\raw\relab\metadata_cache\bdr3\c1be227.xml,data\raw\relab\metadata_cache\bdr3\c1be227.tab,False
c1be228,bdr3,Magnesite- MGC,"For modeling of mixtures (PGG, Active missions)",280,2600,nm,carbonate;magnesite,data\raw\relab\metadata_cache\bdr3\c1be228.xml,data\raw\relab\metadata_cache\bdr3\c1be228.tab,False
c1be229,bdr3,Magnesite- MGC,"For modeling of mixtures (PGG, Active missions)",280,2600,nm,carbonate;magnesite,data\raw\relab\metadata_cache\bdr3\c1be229.xml,data\raw\relab\metadata_cache\bdr3\c1be229.tab,False
c1be230,bdr3,Magnesite- MGC,"For modeling of mixtures (PGG, Active missions)",280,2600,nm,carbonate;magnesite,data\raw\relab\metadata_cache\bdr3\c1be230.xml,data\raw\relab\metadata_cache\bdr3\c1be230.tab,False
c1be231,bdr3,Magnesite- MGC,"For modeling of mixtures (PGG, Active missions)",280,2600,nm,carbonate;magnesite,data\raw\relab\metadata_cache\bdr3\c1be231.xml,data\raw\relab\metadata_cache\bdr3\c1be231.tab,False
c1be232,bdr3,Nontronite Magnesite- 5 wt% NG-1 + 95 wt% MGC,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be232.xml,data\raw\relab\metadata_cache\bdr3\c1be232.tab,False
c1be233,bdr3,Nontronite Magnesite- 10 wt% NG-1 + 90 wt% MGC,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be233.xml,data\raw\relab\metadata_cache\bdr3\c1be233.tab,False
c1be234,bdr3,Nontronite Magnesite- 30 wt% NG-1 + 70 wt% MGC,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be234.xml,data\raw\relab\metadata_cache\bdr3\c1be234.tab,False
c1be235,bdr3,Nontronite Magnesite- 50 wt% NG-1 + 50 wt% MGC,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be235.xml,data\raw\relab\metadata_cache\bdr3\c1be235.tab,False
c1be236,bdr3,Nontronite Magnesite- 90 wt% NG-1 + 10 wt% MGC,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be236.xml,data\raw\relab\metadata_cache\bdr3\c1be236.tab,False
c1be237,bdr3,Nontronite Magnesite- 95 wt% NG-1 + 5 wt% MGC,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be237.xml,data\raw\relab\metadata_cache\bdr3\c1be237.tab,False
c1be238,bdr3,Magnesite Nontronite Olivine- 16 wt% MGC + 16 wt% NG-1 + 68 wt% OLV-SC,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be238.xml,data\raw\relab\metadata_cache\bdr3\c1be238.tab,False
c1be239,bdr3,Magnesite Nontronite Olivine- 16 wt% MGC + 42 wt% NG-1 + 42 wt% OLV-SC (45-75 um),"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be239.xml,data\raw\relab\metadata_cache\bdr3\c1be239.tab,False
c1be240,bdr3,Magnesite Nontronite Olivine- 16 wt% MGC + 68 wt% NG-1 + 16 wt% OLV-SC (45-75 um),"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be240.xml,data\raw\relab\metadata_cache\bdr3\c1be240.tab,False
c1be241,bdr3,Magnesite Nontronite Olivine- 33 wt% MGC + 33 wt% NG-1 + 33 wt% OLV-SC (45-75 um),"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be241.xml,data\raw\relab\metadata_cache\bdr3\c1be241.tab,False
c1be242,bdr3,Magnesite Nontronite Olivine- 42 wt% MGC + 16 wt% NG-1 + 42 wt% OLV-SC (45-75 um),"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be242.xml,data\raw\relab\metadata_cache\bdr3\c1be242.tab,False
c1be243,bdr3,Magnesite Nontronite Olivine- 42 wt% MGC + 42 wt% NG-1 + 16 wt% OLV-SC (45-75 um),"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be243.xml,data\raw\relab\metadata_cache\bdr3\c1be243.tab,False
c1be244,bdr3,Magnesite Nontronite Olivine- 68 wt% MGC + 16 wt% NG-1 + 16 wt% OLV-SC (45-75 um),"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be244.xml,data\raw\relab\metadata_cache\bdr3\c1be244.tab,False
c1be245,bdr3,Magnesite Nontronite Basaltic Glass- 16 wt% MGC + 16 wt% NG-1 + 68 wt% BAS-Gl,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be245.xml,data\raw\relab\metadata_cache\bdr3\c1be245.tab,False
c1be246,bdr3,Magnesite Nontronite Basaltic Glass- 16 wt% MGC + 42 wt% NG-1 + 42 wt% BAS-Gl,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be246.xml,data\raw\relab\metadata_cache\bdr3\c1be246.tab,False
c1be247,bdr3,Magnesite Nontronite Basaltic Glass- 16 wt% MGC + 68 wt% NG-1 + 16 wt% BAS-Gl,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be247.xml,data\raw\relab\metadata_cache\bdr3\c1be247.tab,False
c1be248,bdr3,Magnesite Nontronite Basaltic Glass- 33 wt% MGC + 33 wt% NG-1 + 33 wt% BAS-Gl,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be248.xml,data\raw\relab\metadata_cache\bdr3\c1be248.tab,False
c1be249,bdr3,Magnesite Nontronite Basaltic Glass- 42 wt% MGC + 16 wt% NG-1 + 42 wt% BAS-Gl,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be249.xml,data\raw\relab\metadata_cache\bdr3\c1be249.tab,False
c1be250,bdr3,Magnesite Nontronite Basaltic Glass- 42 wt% MGC + 42 wt% NG-1 + 16 wt% BAS-Gl,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be250.xml,data\raw\relab\metadata_cache\bdr3\c1be250.tab,False
c1be251,bdr3,Magnesite Nontronite Basaltic Glass- 68 wt% MGC + 16 wt% NG-1 + 16 wt% BAS-Gl,"Spectral mixture modeling (PGG, Active missions)",280,2600,nm,magnesite,data\raw\relab\metadata_cache\bdr3\c1be251.xml,data\raw\relab\metadata_cache\bdr3\c1be251.tab,False
