wavelength_um,value,kind,source_id,source_name,notes
0.4,0.044987,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.41,0.045148,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.42,0.04539,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.43,0.04539,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.44,0.045687,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.45,0.045983,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.46,0.04628,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.47,0.046873,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.48,0.047466,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.49,0.048059,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
