wavelength_um,value,kind,source_id,source_name,notes
0.21310002,0.65789694,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2211,0.65120941,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2291,0.63563621,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2361,0.65159595,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.24210002,0.69643945,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.24810001,0.74820966,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2536,0.78278267,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2586,0.79830211,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.26359999,0.80235088,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.26859999,0.80343604,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.27309999,0.80371481,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2771,0.80593216,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.28109998,0.81052732,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.28509998,0.8195743,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.28909999,0.8337298,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2931,0.84583539,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.29710001,0.84978259,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.30109999,0.85486358,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.30509999,0.8575803,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.3091,0.85863644,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.31309998,0.86087441,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.31709999,0.86155605,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.3211,0.86196423,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.3251,0.86351734,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.32910001,0.86329138,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.33309999,0.86193454,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.3371,0.8619206,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.34109998,0.86001289,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.34509999,0.85938507,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.34909999,0.85563731,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.3531,0.85400915,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.35710001,0.85411257,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.36060002,0.85400552,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.36360002,0.85163522,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
0.36660004,0.85124093,reflectance,usgs_epsomite,USGS Epsomite GDS149 hydrated magnesium sulfate,USGS Spectral Library v7 composite extraction for endmember ablation
