wavelength_um,value,kind,source_id,source_name,notes
0.2211,0.75918424,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2291,0.76509202,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2361,0.76150775,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.24210002,0.76616138,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.24810001,0.77435541,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2536,0.7802704,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2586,0.78610051,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.26359999,0.78102887,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.26859999,0.78348887,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.27309999,0.77836657,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2771,0.7827993,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.28109998,0.79172635,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.28509998,0.80044794,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.28909999,0.80064315,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.2931,0.80131012,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.29710001,0.80051517,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.30109999,0.8048898,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.30509999,0.81751364,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.3091,0.82638383,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
0.31309998,0.82833427,reflectance,usgs_gypsum,USGS Gypsum HS333.3B sulfate hydrate,USGS Spectral Library v7 composite extraction for endmember ablation
