wavelength_um,value,kind,source_id,source_name,notes
0.85900003,0.79923469,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.87099999,0.78545892,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.88300002,0.78296947,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.89399999,0.77451146,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.90399998,0.77394295,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.91399997,0.77182931,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.92399997,0.77407861,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.93299997,0.77126223,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.94099998,0.77096874,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.949,0.76505768,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.95700002,0.77226782,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.96399999,0.76697075,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.96999997,0.76277775,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.97599995,0.76080167,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.98199993,0.75090981,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.98799998,0.73778445,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
0.99400002,0.72718322,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0,0.71771044,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.006,0.70528519,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.012,0.69486189,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.018,0.68075508,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0235,0.67385054,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0285,0.66666257,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0335,0.66325903,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0385,0.65894687,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0434999,0.65967131,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0484999,0.65986377,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0534999,0.6612283,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0584999,0.66480607,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0634999,0.67337167,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0684999,0.68540519,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0735,0.69073439,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0785,0.69966745,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0835,0.7036773,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0885,0.70452058,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0935,0.70411384,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.0985,0.70387316,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1035,0.70054442,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1085,0.69874299,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1135,0.69735742,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1185,0.69438303,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1235,0.69246846,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1285,0.68746233,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1335,0.68514228,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1385,0.68691564,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1435,0.68232381,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1485,0.67671311,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1535,0.67184484,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1585,0.66521204,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1635,0.65622401,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1684999,0.64492285,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1735001,0.63315153,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1785001,0.61676401,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1835001,0.60305047,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1885,0.58896381,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1935,0.57313573,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.1985,0.55941546,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2035,0.54405057,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2085,0.52971816,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2135,0.51722276,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2185,0.50385207,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2235,0.49436986,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2285,0.48271748,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2335,0.47538584,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2385,0.46796864,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2435,0.46156687,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2485,0.45403868,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2535,0.45037353,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2585,0.44542176,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2635,0.44345409,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2685,0.44307679,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2735001,0.44260401,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2785001,0.44460648,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2835001,0.44583887,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2885001,0.44544333,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2935001,0.44460428,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.2985001,0.4436301,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3034999,0.44212085,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3084999,0.44582427,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3134999,0.45263276,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3184999,0.46067443,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3234999,0.46912122,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3284999,0.47205245,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3334999,0.47564405,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3384999,0.47971165,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3434999,0.48046684,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3484999,0.48145455,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3534999,0.47960848,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
1.3584999,0.48111767,reflectance,usgs_h2o_ice_77k_beck,USGS H2O-Ice GDS136 77K BECKa,USGS Spectral Library v7 ASCII extraction
