setting,model,n_subset,positive_rate_subset,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,ambiguous_low,ambiguous_high
spectral_only,logreg,148,0.23648648648648649,0.35908124255942786,0.661188369152971,0.42857142857142855,0.17142857142857143,0.26714044416519556,0.09090909090909091,0.0,6,1,0,0,7,3421,0.4,0.7
full,logreg,148,0.23648648648648649,0.6024547532798604,0.807079646017699,0.6428571428571429,0.2571428571428571,0.20603417015112682,0.0,0.0,9,0,0,0,5,3421,0.4,0.7
context_only,logreg,148,0.23648648648648649,0.3416242008961316,0.6637168141592921,0.35714285714285715,0.14285714285714285,0.36370067622317975,0.0,0.0,5,0,0,0,9,3421,0.4,0.7
spectral_only,logreg,189,0.23809523809523808,0.29654850264938293,0.5558641975308642,0.2777777777777778,0.1111111111111111,0.2838704780827591,0.0,0.0,5,0,0,0,13,3422,0.4,0.7
full,logreg,189,0.23809523809523808,0.6977716198112067,0.8479938271604939,0.8888888888888888,0.35555555555555557,0.19356296463947692,0.0,0.0,16,0,0,0,2,3422,0.4,0.7
context_only,logreg,189,0.23809523809523808,0.3734593666979904,0.7154320987654321,0.3888888888888889,0.15555555555555556,0.34111648728452,0.0,0.0,7,0,0,0,11,3422,0.4,0.7
spectral_only,logreg,186,0.22580645161290322,0.28818770517739734,0.554728835978836,0.2777777777777778,0.11904761904761904,0.28104930832028757,0.06666666666666667,0.0,5,1,0,0,12,3423,0.4,0.7
full,logreg,186,0.22580645161290322,0.4904090753088887,0.7470238095238095,0.4444444444444444,0.19047619047619047,0.2231764942815206,0.0,0.0,8,0,0,0,10,3423,0.4,0.7
context_only,logreg,186,0.22580645161290322,0.26237837386503815,0.6049933862433863,0.16666666666666666,0.07142857142857142,0.3661158466986925,0.0,0.0,3,0,0,0,15,3423,0.4,0.7
spectral_only,logreg,180,0.21666666666666667,0.30879984732940735,0.6181123840698309,0.3333333333333333,0.15384615384615385,0.27060908094996616,0.0,0.4,6,0,2,2,8,3424,0.4,0.7
full,logreg,180,0.21666666666666667,0.47096298415643234,0.7650481905801055,0.3888888888888889,0.1794871794871795,0.22565515390495483,0.0,0.0,7,0,0,0,11,3424,0.4,0.7
context_only,logreg,180,0.21666666666666667,0.2632028087737334,0.5988361520276414,0.2222222222222222,0.10256410256410256,0.3884080172082119,0.0,0.0,4,0,0,0,14,3424,0.4,0.7
spectral_only,logreg,215,0.22790697674418606,0.24680420151855897,0.5084829112367839,0.14285714285714285,0.061224489795918366,0.28846615818693616,0.09090909090909091,0.0,3,1,0,1,16,3425,0.4,0.7
full,logreg,215,0.22790697674418606,0.49067521917804335,0.7581755593803786,0.6190476190476191,0.2653061224489796,0.23002198312203131,0.0,0.0,13,0,0,0,8,3425,0.4,0.7
context_only,logreg,215,0.22790697674418606,0.29964610643668854,0.5661421194984018,0.2857142857142857,0.12244897959183673,0.40504256444005404,0.0,0.0,6,0,0,0,15,3425,0.4,0.7
spectral_only,logreg,196,0.28061224489795916,0.32823222338028246,0.58749194068343,0.2631578947368421,0.09090909090909091,0.26692932091887694,0.0,0.3333333333333333,5,0,1,1,12,3426,0.4,0.7
full,logreg,196,0.28061224489795916,0.5403224262270795,0.7511283043197937,0.6842105263157895,0.23636363636363636,0.21951419710323009,0.0,0.0,13,0,0,0,6,3426,0.4,0.7
context_only,logreg,196,0.28061224489795916,0.3002995400138197,0.5449387491940684,0.15789473684210525,0.05454545454545454,0.3844362915616332,0.0,0.0,3,0,0,0,16,3426,0.4,0.7
spectral_only,logreg,172,0.25,0.25689274891870084,0.4995493059311339,0.23529411764705882,0.09302325581395349,0.2876484028317682,0.14285714285714285,0.0,4,1,0,3,9,3427,0.4,0.7
full,logreg,172,0.25,0.5523249006705285,0.7773571299801695,0.5882352941176471,0.23255813953488372,0.21109466249808068,0.0,0.0,10,0,0,0,7,3427,0.4,0.7
context_only,logreg,172,0.25,0.2941339504902155,0.5909500630971696,0.11764705882352941,0.046511627906976744,0.3738065685787067,0.0,0.0,2,0,0,0,15,3427,0.4,0.7
spectral_only,logreg,181,0.22099447513812154,0.3104357192832997,0.5907801418439717,0.3888888888888889,0.175,0.26843289703445355,0.10526315789473684,0.5,7,2,1,1,7,3428,0.4,0.7
full,logreg,181,0.22099447513812154,0.5703000247962999,0.8223404255319149,0.6666666666666666,0.3,0.21140740608618086,0.05263157894736842,0.5,12,1,1,0,4,3428,0.4,0.7
context_only,logreg,181,0.22099447513812154,0.335329418778578,0.6283687943262412,0.3888888888888889,0.175,0.3754591851745783,0.0,0.0,7,0,0,0,11,3428,0.4,0.7
spectral_only,logreg,196,0.24489795918367346,0.351297813769998,0.585867117117117,0.3684210526315789,0.14583333333333334,0.27208837054385165,0.06666666666666667,0.0,7,1,0,2,9,3429,0.4,0.7
full,logreg,196,0.24489795918367346,0.4479740964119521,0.7034065315315315,0.47368421052631576,0.1875,0.2477924905791667,0.0,0.0,9,0,0,0,10,3429,0.4,0.7
context_only,logreg,196,0.24489795918367346,0.278142029346107,0.5703828828828829,0.21052631578947367,0.08333333333333333,0.38102638428853247,0.0,0.0,4,0,0,0,15,3429,0.4,0.7
spectral_only,logreg,187,0.25668449197860965,0.27222529160620973,0.544664268585132,0.16666666666666666,0.0625,0.28427776095114443,0.05,0.0,3,1,0,1,13,3430,0.4,0.7
full,logreg,187,0.25668449197860965,0.6029378828357825,0.8244904076738608,0.7222222222222222,0.2708333333333333,0.18509412611484372,0.0,0.0,13,0,0,0,5,3430,0.4,0.7
context_only,logreg,187,0.25668449197860965,0.36592223414537894,0.6898980815347722,0.3333333333333333,0.125,0.3343659631999884,0.0,0.0,6,0,0,0,12,3430,0.4,0.7
spectral_only,logreg,176,0.23295454545454544,0.3733833578319124,0.6012646793134598,0.47058823529411764,0.1951219512195122,0.2788325472230506,0.125,0.0,8,1,0,3,5,3431,0.4,0.7
full,logreg,176,0.23295454545454544,0.6350370581487623,0.813550135501355,0.7058823529411765,0.2926829268292683,0.21694236774569545,0.0,0.0,12,0,0,0,5,3431,0.4,0.7
context_only,logreg,176,0.23295454545454544,0.40723077049503065,0.7132791327913279,0.35294117647058826,0.14634146341463414,0.34832615765080877,0.0,0.0,6,0,0,0,11,3431,0.4,0.7
spectral_only,logreg,196,0.19387755102040816,0.24621795550377237,0.5507994670219853,0.21052631578947367,0.10526315789473684,0.28361267581725474,0.14285714285714285,0.0,4,2,0,3,10,3432,0.4,0.7
full,logreg,196,0.19387755102040816,0.5282270608941126,0.7854763491005996,0.631578947368421,0.3157894736842105,0.20476024279087282,0.0,0.0,12,0,0,0,7,3432,0.4,0.7
context_only,logreg,196,0.19387755102040816,0.3253961578027252,0.7171885409726848,0.3684210526315789,0.18421052631578946,0.36343249751330026,0.0,0.0,7,0,0,0,12,3432,0.4,0.7
spectral_only,logreg,164,0.20121951219512196,0.2510516519029671,0.5507749248207263,0.25,0.12121212121212122,0.28731294046767253,0.07692307692307693,0.3333333333333333,4,1,1,0,10,3433,0.4,0.7
full,logreg,164,0.20121951219512196,0.6465364512929106,0.8267406893361092,0.75,0.36363636363636365,0.1816293577566137,0.0,0.0,12,0,0,0,4,3433,0.4,0.7
context_only,logreg,164,0.20121951219512196,0.3629662428940754,0.6534813786722184,0.375,0.18181818181818182,0.3749888084605321,0.0,0.0,6,0,0,0,10,3433,0.4,0.7
spectral_only,logreg,194,0.24742268041237114,0.3213764864628744,0.6307077625570776,0.2631578947368421,0.10416666666666667,0.26300586016458954,0.0,0.0,5,0,0,1,13,3434,0.4,0.7
full,logreg,194,0.24742268041237114,0.5444210322604104,0.7651255707762558,0.5789473684210527,0.22916666666666666,0.20163953987791686,0.0,0.0,11,0,0,0,8,3434,0.4,0.7
context_only,logreg,194,0.24742268041237114,0.28727875634086264,0.6063070776255708,0.21052631578947367,0.08333333333333333,0.3431002660130064,0.0,0.0,4,0,0,0,15,3434,0.4,0.7
spectral_only,logreg,176,0.2556818181818182,0.3724093630590043,0.5825275657336726,0.47058823529411764,0.17777777777777778,0.27624686498400663,0.16666666666666666,0.0,8,2,0,1,6,3435,0.4,0.7
full,logreg,176,0.2556818181818182,0.6111566280454613,0.7964376590330788,0.5882352941176471,0.2222222222222222,0.19589624911561393,0.0,0.0,10,0,0,0,7,3435,0.4,0.7
context_only,logreg,176,0.2556818181818182,0.3082401580321361,0.5777777777777777,0.29411764705882354,0.1111111111111111,0.37393451264638666,0.0,0.0,5,0,0,0,12,3435,0.4,0.7
spectral_only,logreg,181,0.20994475138121546,0.32896622074822385,0.6486934118513066,0.3888888888888889,0.18421052631578946,0.2752161148612654,0.0,0.0,7,0,0,2,9,3436,0.4,0.7
full,logreg,181,0.20994475138121546,0.6906898752124437,0.8724696356275303,0.7777777777777778,0.3684210526315789,0.1832941868376429,0.0,0.0,14,0,0,0,4,3436,0.4,0.7
