setting,model,n_subset,positive_rate_subset,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,ambiguous_low,ambiguous_high
spectral_only,logreg,76,0.2236842105263158,0.37132601838655677,0.634097706879362,0.2857142857142857,0.11764705882352941,0.27130695153883033,0.09090909090909091,0.0,2,1,0,1,3,3421,0.4,0.7
full,logreg,76,0.2236842105263158,0.7086532978294391,0.8903290129611167,0.7142857142857143,0.29411764705882354,0.15999776291833864,0.0,0.0,5,0,0,0,2,3421,0.4,0.7
context_only,logreg,76,0.2236842105263158,0.34925138208123646,0.7188434695912262,0.2857142857142857,0.11764705882352941,0.2916883139964819,0.0,0.0,2,0,0,0,5,3421,0.4,0.7
spectral_only,logreg,101,0.25742574257425743,0.29994347617733885,0.5594871794871794,0.3,0.11538461538461539,0.28545900217234643,0.18181818181818182,0.0,3,2,0,2,3,3422,0.4,0.7
full,logreg,101,0.25742574257425743,0.7055900409524428,0.8605128205128205,0.6,0.23076923076923078,0.16932397368332539,0.0,0.0,6,0,0,0,4,3422,0.4,0.7
context_only,logreg,101,0.25742574257425743,0.3172531089488266,0.6405128205128205,0.2,0.07692307692307693,0.3201540740059991,0.0,0.0,2,0,0,0,8,3422,0.4,0.7
spectral_only,logreg,101,0.2871287128712871,0.43839927241942994,0.6020114942528735,0.6,0.20689655172413793,0.26656243484413816,0.0,0.0,6,0,0,0,4,3423,0.4,0.7
full,logreg,101,0.2871287128712871,0.8169235703154001,0.8903256704980843,1.0,0.3448275862068966,0.13959602602985802,0.0,0.0,10,0,0,0,0,3423,0.4,0.7
context_only,logreg,101,0.2871287128712871,0.44337734288587893,0.6479885057471264,0.5,0.1724137931034483,0.3228566184610187,0.0,0.0,5,0,0,0,5,3423,0.4,0.7
spectral_only,logreg,96,0.23958333333333334,0.31204971116241353,0.577724836212031,0.2222222222222222,0.08695652173913043,0.2743348840823117,0.0,0.0,2,0,0,0,7,3424,0.4,0.7
