setting,model,n_train,n_test,positive_rate_test,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,noise_condition,smoothing_window
spectral_only,logreg,5600,2400,0.17833333333333334,0.8911084814939599,0.9671096282534928,0.9583333333333334,0.5373831775700935,0.06809883630621778,0.0,0.0,230,0,0,1,9,3421,moderate,5
spectral_geology,logreg,5600,2400,0.17833333333333334,0.9226649241114052,0.9781911717313415,0.9875,0.5537383177570093,0.055482497035640774,0.0,0.0,237,0,0,0,3,3421,moderate,5
spectral_radiation,logreg,5600,2400,0.17833333333333334,0.899296242088061,0.9703512729616501,0.95,0.5327102803738317,0.06512025696996224,0.0,0.0,228,0,0,2,10,3421,moderate,5
full,logreg,5600,2400,0.17833333333333334,0.9264056535298137,0.9793902011336277,0.9875,0.5537383177570093,0.053819749834188496,0.0,0.0,237,0,0,0,3,3421,moderate,5
context_only,logreg,5600,2400,0.17833333333333334,0.4729439306391154,0.8764075562548577,0.475,0.26635514018691586,0.14111538675593313,0.0,0.0,114,0,0,0,126,3421,moderate,5
spectral_only,logreg,5600,2400,0.17875,0.8905060469093389,0.9662933041928475,0.9583333333333334,0.5361305361305362,0.07123020921874669,0.001455604075691412,0.0,230,1,0,1,8,3422,moderate,5
spectral_geology,logreg,5600,2400,0.17875,0.9271547612016776,0.9791262348339974,0.975,0.5454545454545454,0.057328333207854666,0.0,0.0,234,0,0,0,6,3422,moderate,5
spectral_radiation,logreg,5600,2400,0.17875,0.8960596177943129,0.9676852827537759,0.9666666666666667,0.5407925407925408,0.06932032063452057,0.001455604075691412,0.0,232,1,0,1,6,3422,moderate,5
full,logreg,5600,2400,0.17875,0.9289258489901229,0.9791617143215317,0.9791666666666666,0.5477855477855478,0.05714064008005567,0.001455604075691412,0.0,235,1,0,0,4,3422,moderate,5
context_only,logreg,5600,2400,0.17875,0.4359475473517735,0.8673930500414517,0.44166666666666665,0.24708624708624707,0.14324865029460132,0.0,0.0,106,0,0,0,134,3422,moderate,5
spectral_only,logreg,5600,2400,0.18291666666666667,0.9018026896618123,0.9699307335874148,0.9791666666666666,0.5353075170842825,0.06973663385620484,0.0,0.0,235,0,0,1,4,3423,moderate,5
spectral_geology,logreg,5600,2400,0.18291666666666667,0.934897368487126,0.9795313859439015,0.9916666666666667,0.5421412300683371,0.05726851551200178,0.0,0.0,238,0,0,1,1,3423,moderate,5
spectral_radiation,logreg,5600,2400,0.18291666666666667,0.9052916097583689,0.9710110247781627,0.9875,0.5398633257403189,0.06861819095380296,0.0,0.0,237,0,0,1,2,3423,moderate,5
full,logreg,5600,2400,0.18291666666666667,0.9347434171452425,0.979551133202227,0.9916666666666667,0.5421412300683371,0.05754057125785588,0.0,0.0,238,0,0,1,1,3423,moderate,5
context_only,logreg,5600,2400,0.18291666666666667,0.4886048003617406,0.8771453363364654,0.5041666666666667,0.275626423690205,0.13701671754718792,0.0,0.0,121,0,0,0,119,3423,moderate,5
spectral_only,logreg,5600,2400,0.19041666666666668,0.8979951473619752,0.9710547090999391,0.9583333333333334,0.5032822757111597,0.0734912378104256,0.0,0.0,230,0,0,0,10,3424,moderate,5
spectral_geology,logreg,5600,2400,0.19041666666666668,0.9259444475202326,0.97939300704656,0.9708333333333333,0.5098468271334792,0.060974025495895055,0.0,0.0,233,0,0,0,7,3424,moderate,5
spectral_radiation,logreg,5600,2400,0.19041666666666668,0.9068894658427955,0.9729196768740618,0.9583333333333334,0.5032822757111597,0.07024071439113522,0.0,0.0,230,0,0,0,10,3424,moderate,5
full,logreg,5600,2400,0.19041666666666668,0.9280317550891257,0.9798986655795195,0.975,0.5120350109409191,0.0595942059434803,0.0,0.0,234,0,0,0,6,3424,moderate,5
context_only,logreg,5600,2400,0.19041666666666668,0.45687071115099925,0.8585608890580673,0.45416666666666666,0.23851203501094093,0.15282368853246397,0.0,0.0,109,0,0,0,131,3424,moderate,5
