setting,model,n_train,n_test,positive_rate_test,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,noise_condition,smoothing_window
spectral_only,logreg,5600,2400,0.17833333333333334,0.9548198566642658,0.9867751322249815,0.9958333333333333,0.5584112149532711,0.03935823563809194,0.0,0.0,239,0,0,1,0,3421,moderate,5
spectral_geology,logreg,5600,2400,0.17833333333333334,0.982575931332564,0.9954752042615306,1.0,0.5607476635514018,0.022873448971645314,0.0,0.0,240,0,0,0,0,3421,moderate,5
spectral_radiation,logreg,5600,2400,0.17833333333333334,0.9609871237758966,0.9891364618680214,0.9958333333333333,0.5584112149532711,0.03624930095900608,0.0,0.0,239,0,0,1,0,3421,moderate,5
full,logreg,5600,2400,0.17833333333333334,0.9838243857331833,0.9958140603969593,1.0,0.5607476635514018,0.02208741001441027,0.0,0.0,240,0,0,0,0,3421,moderate,5
context_only,logreg,5600,2400,0.17833333333333334,0.4729439306391154,0.8764075562548577,0.475,0.26635514018691586,0.14111538675593313,0.0,0.0,114,0,0,0,126,3421,moderate,5
spectral_only,logreg,5600,2400,0.17875,0.9533287355489471,0.9854510448117754,0.9958333333333333,0.5571095571095571,0.04366115292102022,0.0,0.0,239,0,0,1,0,3422,moderate,5
spectral_geology,logreg,5600,2400,0.17875,0.9799510809108177,0.9939649391704186,1.0,0.5594405594405595,0.026839653598467014,0.0,0.0,240,0,0,0,0,3422,moderate,5
spectral_radiation,logreg,5600,2400,0.17875,0.9581098923219052,0.9865142467882194,0.9958333333333333,0.5571095571095571,0.04059195320517886,0.0,0.0,239,0,0,1,0,3422,moderate,5
full,logreg,5600,2400,0.17875,0.9807058744786141,0.9940843867784506,1.0,0.5594405594405595,0.025728608936556083,0.0,0.0,240,0,0,0,0,3422,moderate,5
context_only,logreg,5600,2400,0.17875,0.4359475473517735,0.8673930500414517,0.44166666666666665,0.24708624708624707,0.14324865029460132,0.0,0.0,106,0,0,0,134,3422,moderate,5
spectral_only,logreg,5600,2400,0.18291666666666667,0.9598187349911248,0.9873896331540204,0.9958333333333333,0.5444191343963554,0.03834584959588077,0.0,0.0,239,0,0,0,1,3423,moderate,5
spectral_geology,logreg,5600,2400,0.18291666666666667,0.9813182682942049,0.9942024372763187,1.0,0.5466970387243736,0.02225824501252978,0.0,0.0,240,0,0,0,0,3423,moderate,5
spectral_radiation,logreg,5600,2400,0.18291666666666667,0.9628158422275558,0.9887649716162202,1.0,0.5466970387243736,0.036971246090625874,0.0,0.0,240,0,0,0,0,3423,moderate,5
full,logreg,5600,2400,0.18291666666666667,0.9818950375328968,0.9944998077546322,1.0,0.5466970387243736,0.021377730715632856,0.0,0.0,240,0,0,0,0,3423,moderate,5
context_only,logreg,5600,2400,0.18291666666666667,0.4886048003617406,0.8771453363364654,0.5041666666666667,0.275626423690205,0.13701671754718792,0.0,0.0,121,0,0,0,119,3423,moderate,5
spectral_only,logreg,5600,2400,0.19041666666666668,0.9657502353501692,0.9908452155580657,1.0,0.5251641137855579,0.03993538109366202,0.0,0.0,240,0,0,0,0,3424,moderate,5
spectral_geology,logreg,5600,2400,0.19041666666666668,0.9837033756166695,0.9957137274466722,1.0,0.5251641137855579,0.025475977434577968,0.0,0.0,240,0,0,0,0,3424,moderate,5
spectral_radiation,logreg,5600,2400,0.19041666666666668,0.9699345193467956,0.9919060849078384,1.0,0.5251641137855579,0.03623046539242306,0.0,0.0,240,0,0,0,0,3424,moderate,5
full,logreg,5600,2400,0.19041666666666668,0.9844131503738861,0.9958691414278491,1.0,0.5251641137855579,0.025006472750428534,0.0,0.0,240,0,0,0,0,3424,moderate,5
context_only,logreg,5600,2400,0.19041666666666668,0.45687071115099925,0.8585608890580673,0.45416666666666666,0.23851203501094093,0.15282368853246397,0.0,0.0,109,0,0,0,131,3424,moderate,5
spectral_only,logreg,5600,2400,0.18083333333333335,0.9570392183871516,0.9859477476548326,1.0,0.5529953917050692,0.045036917882781455,0.0,0.0,240,0,0,0,0,3425,moderate,5
spectral_geology,logreg,5600,2400,0.18083333333333335,0.9778768984273872,0.9938095081828879,1.0,0.5529953917050692,0.031951442397197986,0.0,0.0,240,0,0,0,0,3425,moderate,5
spectral_radiation,logreg,5600,2400,0.18083333333333335,0.9612288074681254,0.9871537332814528,1.0,0.5529953917050692,0.041457650212053485,0.0,0.0,240,0,0,0,0,3425,moderate,5
full,logreg,5600,2400,0.18083333333333335,0.9797069060199167,0.9943603470988369,1.0,0.5529953917050692,0.030045982743663546,0.0,0.0,240,0,0,0,0,3425,moderate,5
context_only,logreg,5600,2400,0.18083333333333335,0.4433211388712317,0.8594352846313599,0.42916666666666664,0.23732718894009217,0.15637526145183783,0.0,0.0,103,0,0,0,137,3425,moderate,5
spectral_only,logreg,5600,2400,0.17833333333333334,0.9569514978199207,0.9885405016018655,0.9916666666666667,0.5560747663551402,0.03871326153562638,0.0,0.0,238,0,0,0,2,3426,moderate,5
spectral_geology,logreg,5600,2400,0.17833333333333334,0.9801125257397881,0.9946967829993744,1.0,0.5607476635514018,0.023860135044100277,0.0,0.0,240,0,0,0,0,3426,moderate,5
spectral_radiation,logreg,5600,2400,0.17833333333333334,0.9606410505020757,0.9899136983185153,0.9916666666666667,0.5560747663551402,0.03660085632051681,0.0,0.0,238,0,0,0,2,3426,moderate,5
full,logreg,5600,2400,0.17833333333333334,0.9822412772072825,0.9953579079069591,1.0,0.5607476635514018,0.022574202945820805,0.0,0.0,240,0,0,0,0,3426,moderate,5
context_only,logreg,5600,2400,0.17833333333333334,0.45369192890448323,0.8663674622282042,0.44166666666666665,0.24766355140186916,0.14527634505569864,0.0,0.0,106,0,0,0,134,3426,moderate,5
spectral_only,logreg,5600,2400,0.17708333333333334,0.955905682775747,0.9863708116157855,0.9916666666666667,0.56,0.03808986643158272,0.0,0.0,238,0,0,2,0,3427,moderate,5
spectral_geology,logreg,5600,2400,0.17708333333333334,0.9812253088162187,0.9942755026061058,1.0,0.5647058823529412,0.02305422144096742,0.0,0.0,240,0,0,0,0,3427,moderate,5
spectral_radiation,logreg,5600,2400,0.17708333333333334,0.9600517788692485,0.9868938198064036,0.9916666666666667,0.56,0.036097512618359445,0.0,0.0,238,0,0,2,0,3427,moderate,5
full,logreg,5600,2400,0.17708333333333334,0.980972559371152,0.9939562174236782,1.0,0.5647058823529412,0.02294261179391463,0.0,0.0,240,0,0,0,0,3427,moderate,5
context_only,logreg,5600,2400,0.17708333333333334,0.4615639893873583,0.8728816083395383,0.44583333333333336,0.25176470588235295,0.14068345852907346,0.0,0.0,107,0,0,0,133,3427,moderate,5
spectral_only,logreg,5600,2400,0.18333333333333332,0.9562568393587005,0.9856748608534323,0.9958333333333333,0.5431818181818182,0.04179304703551905,0.0,0.0,239,0,0,1,0,3428,moderate,5
spectral_geology,logreg,5600,2400,0.18333333333333332,0.9798433661034512,0.993675788497217,1.0,0.5454545454545454,0.028048423864579113,0.0,0.0,240,0,0,0,0,3428,moderate,5
spectral_radiation,logreg,5600,2400,0.18333333333333332,0.9624439080776807,0.9870709647495362,1.0,0.5454545454545454,0.03906798518304028,0.0,0.0,240,0,0,0,0,3428,moderate,5
