group,filter,cube_count,observation_count
leading_chaos,all_metadata,142,39
leading_chaos,coverage_0p7_2p0,94,26
leading_chaos,coverage_0p7_5p2,76,21
leading_chaos,ci_coverage_0p7_2p0,22,22
leading_chaos,ci_coverage_0p7_5p2,18,18
leading_plains,all_metadata,42,12
leading_plains,coverage_0p7_2p0,28,7
leading_plains,coverage_0p7_5p2,4,1
leading_plains,ci_coverage_0p7_2p0,7,7
leading_plains,ci_coverage_0p7_5p2,1,1
trailing_chaos,all_metadata,50,14
trailing_chaos,coverage_0p7_2p0,12,3
trailing_chaos,coverage_0p7_5p2,8,2
trailing_chaos,ci_coverage_0p7_2p0,3,3
trailing_chaos,ci_coverage_0p7_5p2,2,2
trailing_plains,all_metadata,86,24
trailing_plains,coverage_0p7_2p0,12,3
trailing_plains,coverage_0p7_5p2,8,2
trailing_plains,ci_coverage_0p7_2p0,3,3
trailing_plains,ci_coverage_0p7_5p2,2,2
