volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error
go_1104,g1e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e001ti.qub,213.625,trailing,pr,plains,trailing_plains,10,0.8403,5.2101,False,False,62.04,18.34,47.02,
go_1104,g1e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e001tr.qub,213.625,trailing,pr,plains,trailing_plains,10,0.8403,5.2101,False,False,62.04,18.34,47.02,
go_1104,g1e002ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e002ci.qub,217.365,trailing,pr,plains,trailing_plains,17,0.7035,4.933,False,False,35.62,2.58,37.54,
go_1104,g1e002cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e002cr.qub,217.365,trailing,pr,plains,trailing_plains,17,0.7035,4.933,False,False,35.62,2.58,37.54,
go_1104,g1e002ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e002ti.qub,217.365,trailing,pr,plains,trailing_plains,17,0.7035,4.933,False,False,20.16,24.83,37.73,
go_1104,g1e002tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e002tr.qub,217.365,trailing,pr,plains,trailing_plains,17,0.7035,4.933,False,False,20.16,24.83,37.73,
go_1104,g1e003ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e003ci.qub,219.4,trailing,pr,plains,trailing_plains,228,0.7101,5.2365,False,False,36.86,36.25,30.88,
go_1104,g1e003cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e003cr.qub,219.4,trailing,pr,plains,trailing_plains,228,0.7101,5.2365,False,False,36.86,36.25,30.88,
go_1104,g1e003ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e003ti.qub,219.4,trailing,pr,plains,trailing_plains,228,0.7101,5.2365,False,False,39.44,39.71,30.88,
go_1104,g1e003tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e003tr.qub,219.4,trailing,pr,plains,trailing_plains,228,0.7101,5.2365,False,False,39.44,39.71,30.88,
go_1104,g1e004ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e004ci.qub,219.25,trailing,pr,plains,trailing_plains,228,0.7101,5.2365,False,False,22.93,9.93,31.55,
go_1104,g1e004cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1104/europa/g1e004cr.qub,219.25,trailing,pr,plains,trailing_plains,228,0.7101,5.2365,False,False,22.93,9.93,31.55,
