obs_id,group,hemisphere,terrain,pc1,pc2,pc3,pc4,nmf1,nmf2,nmf3,nmf4
E6,leading_chaos,leading,chaos,-1.7956260248573757,-0.6989702446620002,3.4601269265272716,0.680146315045801,0.29832300457600414,0.534596048429675,0.11242760672147864,0.40559019856611295
15e015,leading_chaos,leading,chaos,0.4221560980150577,2.6238824619978347,2.359449289075238,1.48572487109004,0.3190672801405148,0.36325535460515346,0.23841539905694084,0.5196534940868285
17e009,leading_chaos,leading,chaos,-0.19098000264206533,4.584613489491004,1.1043091983309763,0.9311251928670999,0.38927974066082127,0.21274879896411827,0.2844102912714923,0.4970169169065486
25e006,leading_plains,leading,plains,11.96637290042753,1.3076225633955927,-0.8939012865116447,-0.34279947841727154,0.6273547026870612,0.2108971477689266,0.6829866726041126,0.19624808577746047
25e001,leading_plains,leading,plains,7.909640440962432,-2.9859068912978994,-1.2305934096414348,0.26962200695540484,0.4748591963281205,0.5023987970363686,0.5607922398278555,0.09730254722799618
25e004,leading_plains,leading,plains,3.9537278383549053,-6.9307109827457705,-1.507663572114193,0.6147213165945076,0.3427661843472925,0.7648120431876103,0.43903557415920086,0.0
G2,trailing_chaos,trailing,chaos,1.198508218925021,-0.06778496233887348,1.1245173645527744,-1.1216689539967521,0.48001244484988664,0.3689962312660152,0.2814499663471879,0.2395910940219942
12e003,trailing_chaos,trailing,chaos,-7.130926558201465,2.9353527964974995,-4.174568370604487,0.3875825358632888,0.30419837563271684,0.2972884740288285,0.3041249209546767,0.2722462716786903
12e001,trailing_chaos,trailing,chaos,-7.8812822956358115,-5.238660758115793,0.795996609211746,0.3932122875633509,0.18479467995302457,0.7835643356912125,0.0,0.19110382663618333
E11,trailing_plains,trailing,plains,-2.586414439275671,-0.3757138180831958,1.6106028645302353,-2.608266048867841,0.5673139521870004,0.3054956639021222,0.13910846218855413,0.138258675315865
17e008,trailing_plains,trailing,plains,2.182266140212944,5.04793735607867,-0.9941466626438165,-0.46686331344526516,0.5286531172662194,0.0846054503690604,0.4362432836028151,0.35465398661049324
14e001,trailing_plains,trailing,plains,-8.047442316285508,-0.20166101021706426,-1.6541289507126684,-0.2225367312523649,0.31199816533716157,0.44144639252229595,0.14302683197358496,0.2127791510631655
