stage_label,band_um,n_bands,mean_ood_ratio,ood_reduction_vs_baseline,ood_reduction_pct_vs_baseline,synth_internal_ood,mean_ood_dist
baseline,0.7-2.0,53,20.632,0.0,0.0,0.059,1.222
baseline,2.0-2.5,21,49.156,0.0,0.0,0.028,1.377
baseline,2.5-3.5,41,59.945,0.0,0.0,0.043,2.563
baseline,3.5-4.1,25,113.568,0.0,0.0,0.028,3.194
baseline,4.1-5.2,45,87.271,0.0,0.0,0.046,4.041
+HSO short-wave SAO,0.7-2.0,53,21.051,-0.419,-2.033,0.058,1.218
+HSO short-wave SAO,2.0-2.5,21,48.198,0.958,1.948,0.029,1.377
+HSO short-wave SAO,2.5-3.5,41,59.975,-0.029,-0.049,0.043,2.558
+HSO short-wave SAO,3.5-4.1,25,115.259,-1.691,-1.489,0.028,3.215
+HSO short-wave SAO,4.1-5.2,45,87.53,-0.259,-0.297,0.046,4.041
+USGS epsomite salt,0.7-2.0,53,15.428,5.204,25.221,0.056,0.858
+USGS epsomite salt,2.0-2.5,21,37.706,11.449,23.292,0.028,1.043
+USGS epsomite salt,2.5-3.5,41,47.433,12.512,20.872,0.047,2.216
+USGS epsomite salt,3.5-4.1,25,81.73,31.838,28.034,0.031,2.574
+USGS epsomite salt,4.1-5.2,45,62.24,25.031,28.682,0.05,3.085
+Titan tholin 100K,0.7-2.0,53,20.964,-0.332,-1.611,0.059,1.233
+Titan tholin 100K,2.0-2.5,21,49.353,-0.198,-0.402,0.027,1.352
+Titan tholin 100K,2.5-3.5,41,59.938,0.007,0.011,0.043,2.557
+Titan tholin 100K,3.5-4.1,25,113.619,-0.052,-0.045,0.028,3.194
+Titan tholin 100K,4.1-5.2,45,87.268,0.002,0.002,0.046,4.041
+HSO + epsomite,0.7-2.0,53,16.349,4.283,20.758,0.054,0.879
+HSO + epsomite,2.0-2.5,21,37.78,11.376,23.143,0.028,1.043
+HSO + epsomite,2.5-3.5,41,47.985,11.96,19.952,0.046,2.217
+HSO + epsomite,3.5-4.1,25,82.136,31.432,27.677,0.032,2.588
+HSO + epsomite,4.1-5.2,45,62.443,24.828,28.449,0.049,3.085
+HSO + epsomite + tholin,0.7-2.0,53,16.233,4.399,21.322,0.053,0.855
+HSO + epsomite + tholin,2.0-2.5,21,41.278,7.878,16.026,0.025,1.043
+HSO + epsomite + tholin,2.5-3.5,41,47.721,12.224,20.392,0.046,2.216
+HSO + epsomite + tholin,3.5-4.1,25,82.113,31.455,27.697,0.032,2.588
+HSO + epsomite + tholin,4.1-5.2,45,62.423,24.848,28.472,0.049,3.085
