Model family,Input setting,PR-AUC,ROC-AUC,Precision@10%,Recall@10%,Brier,Rad mimic in Top10,Exogenic in Top10,PR-AUC gap vs context-only
Additive logistic regression,Spectral-only,0.8479 +/- 0.0117,0.9570 +/- 0.0033,0.9033 +/- 0.0199,0.5013 +/- 0.0142,0.0828 +/- 0.0041,0.3000 +/- 0.4702,0.0500 +/- 0.2236,0.3895
Additive logistic regression,Spectral + geology,0.8961 +/- 0.0100,0.9715 +/- 0.0032,0.9496 +/- 0.0107,0.5270 +/- 0.0138,0.0679 +/- 0.0047,0.0500 +/- 0.2236,0.0000 +/- 0.0000,0.4377
Additive logistic regression,Spectral + radiation,0.8514 +/- 0.0114,0.9584 +/- 0.0031,0.9021 +/- 0.0173,0.5006 +/- 0.0132,0.0812 +/- 0.0040,0.1500 +/- 0.3663,0.0000 +/- 0.0000,0.3930
Additive logistic regression,Full spatial-spectral,0.8960 +/- 0.0101,0.9716 +/- 0.0032,0.9492 +/- 0.0114,0.5268 +/- 0.0150,0.0677 +/- 0.0047,0.0500 +/- 0.2236,0.0000 +/- 0.0000,0.4376
Additive logistic regression,Context-only baseline,0.4584 +/- 0.0232,0.8674 +/- 0.0086,0.4594 +/- 0.0344,0.2550 +/- 0.0208,0.1461 +/- 0.0064,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000
Random forest robustness,Spectral-only,0.9503 +/- 0.0075,0.9863 +/- 0.0025,0.9896 +/- 0.0055,0.5566 +/- 0.0145,0.0325 +/- 0.0026,0.3500 +/- 0.4894,0.0000 +/- 0.0000,0.5018
Random forest robustness,Spectral + geology,0.9649 +/- 0.0055,0.9909 +/- 0.0017,0.9952 +/- 0.0028,0.5694 +/- 0.0226,0.0265 +/- 0.0022,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5163
Random forest robustness,Spectral + radiation,0.9572 +/- 0.0069,0.9885 +/- 0.0021,0.9919 +/- 0.0039,0.5575 +/- 0.0125,0.0297 +/- 0.0026,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5086
Random forest robustness,Full spatial-spectral,0.9661 +/- 0.0052,0.9913 +/- 0.0017,0.9952 +/- 0.0034,0.5716 +/- 0.0255,0.0262 +/- 0.0024,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5175
Random forest robustness,Context-only baseline,0.4486 +/- 0.0171,0.8644 +/- 0.0058,0.4492 +/- 0.0307,0.3929 +/- 0.1756,0.0999 +/- 0.0024,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000
