model,rho_geo,rho_rad,pr_auc_spectral,pr_auc_full,pr_auc_context_only,delta_pr_auc,delta_full_minus_context,fpr_rad_spectral,fpr_rad_full,fpr_reduction_rad_mimic,precision10_spectral,precision10_full,recall10_spectral,recall10_full,delta_precision10,delta_recall10,top10_rad_spectral,top10_rad_full,top10_rad_reduction,top10_exogenic_spectral,top10_exogenic_full
logreg,0.0,0.0,0.8888260546081959,0.8906073593370912,0.1932838837387652,0.001781304728895372,0.697323475598326,0.0,0.0,0.0,0.96,0.9866666666666667,0.5581395348837209,0.5736434108527132,0.026666666666666727,0.015503875968992276,0,0,0,0,0
logreg,0.0,0.25,0.8835170054016999,0.8915119580924341,0.27598983974113594,0.007994952690734247,0.6155221183512982,0.0,0.004739336492890996,-0.004739336492890996,0.92,0.92,0.5227272727272727,0.5227272727272727,0.0,0.0,0,1,-1,0,0
logreg,0.0,0.5,0.8694889062077088,0.8716785833899005,0.3100186521197358,0.0021896771821916516,0.5616599312701647,0.0,0.0,0.0,0.9466666666666667,0.9466666666666667,0.5107913669064749,0.5107913669064749,0.0,0.0,0,0,0,0,0
logreg,0.0,0.75,0.8759456174053556,0.8831522107418763,0.2796302636341749,0.007206593336520739,0.6035219471077014,0.0,0.0,0.0,0.9333333333333333,0.9466666666666667,0.4861111111111111,0.4930555555555556,0.013333333333333308,0.006944444444444475,0,0,0,0,0
logreg,0.0,1.0,0.8824548692546587,0.8928786284415225,0.28799085411142616,0.01042375918686389,0.6048877743300964,0.0,0.0,0.0,0.96,0.96,0.5454545454545454,0.5454545454545454,0.0,0.0,0,0,0,0,0
logreg,0.25,0.0,0.8847713744551918,0.9007073499024532,0.4946815632726476,0.01593597544726133,0.40602578662980554,0.0,0.0,0.0,0.9333333333333333,0.96,0.5223880597014925,0.5373134328358209,0.026666666666666616,0.014925373134328401,0,0,0,0,0
logreg,0.25,0.25,0.9017434844873196,0.915023218558413,0.4371433591096612,0.013279734071093396,0.4778798594487518,0.0,0.0,0.0,0.9866666666666667,1.0,0.5481481481481482,0.5555555555555556,0.013333333333333308,0.007407407407407418,0,0,0,0,0
logreg,0.25,0.5,0.9051846822842141,0.9046217172745602,0.39937986580280127,-0.0005629650096539152,0.5052418514717589,0.0,0.0,0.0,0.9333333333333333,0.9466666666666667,0.5645161290322581,0.5725806451612904,0.013333333333333308,0.008064516129032251,0,0,0,0,0
logreg,0.25,0.75,0.8793594103956015,0.8937173528323274,0.4368840677800062,0.014357942436725946,0.45683328505232124,0.0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.524822695035461,0.524822695035461,0.0,0.0,0,0,0,0,0
logreg,0.25,1.0,0.8939699495893326,0.9104902936984286,0.5016959038148205,0.016520344109095975,0.40879438988360806,0.0,0.0,0.0,0.96,0.9733333333333334,0.4897959183673469,0.4965986394557823,0.01333333333333342,0.006802721088435382,0,0,0,0,0
logreg,0.5,0.0,0.9050087588030311,0.9291908401425133,0.4463674997060733,0.024182081339482187,0.48282334043644,0.0,0.0,0.0,0.9866666666666667,0.9733333333333334,0.5606060606060606,0.553030303030303,-0.013333333333333308,-0.007575757575757569,0,0,0,0,0
logreg,0.5,0.25,0.8783020797067435,0.9198043092307833,0.4721364864257558,0.04150222952403981,0.4476678228050275,0.0,0.0,0.0,0.92,0.9733333333333334,0.5073529411764706,0.5367647058823529,0.053333333333333344,0.02941176470588236,0,0,0,0,0
logreg,0.5,0.5,0.8946142344940542,0.908214471649115,0.47196156484709106,0.013600237155060757,0.4362529068020239,0.0,0.0,0.0,0.9466666666666667,0.9733333333333334,0.47019867549668876,0.48344370860927155,0.026666666666666727,0.013245033112582794,0,0,0,0,0
logreg,0.5,0.75,0.9089990444358459,0.9420946654193831,0.5196251427810131,0.033095620983537244,0.42246952263837,0.0,0.0,0.0,0.96,0.9866666666666667,0.4897959183673469,0.5034013605442177,0.026666666666666727,0.013605442176870763,0,0,0,0,0
logreg,0.5,1.0,0.8802580748201664,0.9094309795879875,0.4520748623047846,0.029172904767821084,0.45735611728320286,0.0,0.0,0.0,0.96,1.0,0.5413533834586466,0.5639097744360902,0.040000000000000036,0.022556390977443663,0,0,0,0,0
logreg,0.75,0.0,0.8973470769296654,0.9311341498811756,0.44204771813975363,0.03378707295151018,0.48908643174142197,0.0,0.0,0.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0,0,0,0,0
logreg,0.75,0.25,0.8938309285980054,0.9401993968921559,0.5187678941952271,0.04636846829415053,0.42143150269692886,0.0,0.0,0.0,1.0,1.0,0.5357142857142857,0.5357142857142857,0.0,0.0,0,0,0,0,0
logreg,0.75,0.5,0.8099189456085798,0.8688742233939415,0.4838678500356245,0.05895527778536169,0.385006373358317,0.0,0.0,0.0,0.88,0.9333333333333333,0.5409836065573771,0.5737704918032787,0.053333333333333344,0.032786885245901565,0,0,0,0,0
