setting,class,n,score_mean,score_std,score_median,score_p90,frac_in_top10pct
spectral_only,ocean_organic,428,0.8492733196803667,0.246476463419599,0.9781406865184079,0.9996497290504441,0.5373831775700935
spectral_only,ocean_nonorganic,514,0.3368231842783462,0.29619421301166776,0.2431536332417361,0.8384907460642027,0.017509727626459144
spectral_only,radiation_mimic,674,0.03553078001642011,0.10027725167247725,0.002303767982059,0.09010815600702343,0.0
spectral_only,exogenic_complex_organic,483,0.015792589212205343,0.06417819466237344,0.0004435457005891,0.030618985015427883,0.0
spectral_only,noise_artifact,301,0.09638394056415135,0.199446468117373,0.011822215264565,0.3288276937893687,0.0033222591362126247
full,ocean_organic,428,0.8733060620123289,0.23209224735951692,0.9893099746101415,0.9999414824070787,0.5537383177570093
full,ocean_nonorganic,514,0.3035500973810158,0.2997484692149082,0.185200875856637,0.7950610432461152,0.005836575875486381
full,radiation_mimic,674,0.017410764719054683,0.061215997195470995,0.0004931076567329001,0.02987885198145786,0.0
full,exogenic_complex_organic,483,0.008570135569423196,0.03775399607748665,0.0001767233542534,0.015518142298736824,0.0
full,noise_artifact,301,0.019051257906176722,0.0872599915645724,0.000268839880466,0.0168594593179335,0.0
