setting,class,n,score_mean,score_std,score_median,score_p90,frac_in_top10pct
spectral_only,ocean_organic,428,0.7729915836623703,0.2569029329264847,0.8814198284406695,0.9917350433859249,0.4439252336448598
spectral_only,ocean_nonorganic,514,0.48272046012067327,0.2847803867123487,0.4736832251892625,0.8928353467529753,0.08365758754863813
spectral_only,radiation_mimic,674,0.11169899679256681,0.17568923322711233,0.03273057956192408,0.35354051409889525,0.002967359050445104
spectral_only,exogenic_complex_organic,483,0.038791909102592996,0.08710633470514552,0.00823860724259247,0.10752799040691537,0.0
spectral_only,noise_artifact,301,0.15397226051909607,0.20764312874281954,0.058721314712009434,0.4543646052777094,0.016611295681063124
full,ocean_organic,428,0.8372759422589405,0.23562955381396472,0.9487129008390096,0.9984615782082138,0.5116822429906542
full,ocean_nonorganic,514,0.4118764974610556,0.30368274475075335,0.3601243905493459,0.877839189244744,0.04085603112840467
full,radiation_mimic,674,0.03789131510527319,0.10253448518041053,0.003102930912845043,0.10933998603448739,0.0
full,exogenic_complex_organic,483,0.016434397099648192,0.04866665949950564,0.0023426150283714195,0.03194141530476492,0.0
full,noise_artifact,301,0.0074718405197538,0.03050863836527364,0.0005882024519786961,0.012755130950032842,0.0
